Epoch: [0][0/5052], lr: 0.00100	Time 9.246 (9.246)	Data 1.695 (1.695)	Loss 3.6223 (3.6223)	Prec@1 0.000 (0.000)	Prec@5 12.500 (12.500)
Epoch: [0][20/5052], lr: 0.00100	Time 2.265 (2.554)	Data 1.749 (1.708)	Loss 2.3153 (2.5735)	Prec@1 37.500 (40.476)	Prec@5 70.833 (68.056)
Epoch: [0][40/5052], lr: 0.00100	Time 2.310 (2.352)	Data 1.797 (1.676)	Loss 2.4914 (2.3830)	Prec@1 45.833 (42.785)	Prec@5 66.667 (71.341)
Epoch: [0][60/5052], lr: 0.00100	Time 2.175 (2.285)	Data 1.655 (1.667)	Loss 2.1131 (2.2523)	Prec@1 50.000 (44.399)	Prec@5 79.167 (73.292)
Epoch: [0][80/5052], lr: 0.00100	Time 2.214 (2.263)	Data 1.697 (1.673)	Loss 1.8977 (2.1519)	Prec@1 50.000 (46.142)	Prec@5 79.167 (74.794)
Epoch: [0][100/5052], lr: 0.00100	Time 2.033 (2.243)	Data 1.549 (1.670)	Loss 1.4963 (2.0791)	Prec@1 54.167 (46.700)	Prec@5 87.500 (75.949)
Epoch: [0][120/5052], lr: 0.00100	Time 2.104 (2.231)	Data 1.614 (1.670)	Loss 1.9364 (1.9993)	Prec@1 45.833 (48.313)	Prec@5 66.667 (77.066)
Epoch: [0][140/5052], lr: 0.00100	Time 2.095 (2.225)	Data 1.612 (1.672)	Loss 1.5785 (1.9368)	Prec@1 66.667 (49.764)	Prec@5 83.333 (78.191)
Epoch: [0][160/5052], lr: 0.00100	Time 2.266 (2.222)	Data 1.752 (1.675)	Loss 1.0891 (1.9029)	Prec@1 70.833 (50.104)	Prec@5 95.833 (78.546)
Epoch: [0][180/5052], lr: 0.00100	Time 2.311 (2.222)	Data 1.793 (1.678)	Loss 1.6334 (1.8797)	Prec@1 50.000 (50.115)	Prec@5 79.167 (78.729)
Epoch: [0][200/5052], lr: 0.00100	Time 2.122 (2.219)	Data 1.638 (1.679)	Loss 1.6518 (1.8513)	Prec@1 58.333 (50.580)	Prec@5 70.833 (79.291)
Epoch: [0][220/5052], lr: 0.00100	Time 2.315 (2.217)	Data 1.797 (1.681)	Loss 0.9466 (1.8195)	Prec@1 75.000 (50.999)	Prec@5 91.667 (79.921)
Epoch: [0][240/5052], lr: 0.00100	Time 2.290 (2.213)	Data 1.781 (1.679)	Loss 1.4249 (1.7950)	Prec@1 54.167 (51.435)	Prec@5 79.167 (80.325)
Epoch: [0][260/5052], lr: 0.00100	Time 2.047 (2.210)	Data 1.564 (1.679)	Loss 1.2976 (1.7655)	Prec@1 62.500 (52.091)	Prec@5 87.500 (80.811)
Epoch: [0][280/5052], lr: 0.00100	Time 2.253 (2.210)	Data 1.736 (1.681)	Loss 1.0329 (1.7431)	Prec@1 62.500 (52.580)	Prec@5 95.833 (81.243)
